,DATE_TIME_CST,LATITUDE,LONGITUDE,WEATHER_ID,WEATHER_DESCRIPTION,WEATHER_ICON,TEMPERATURE,HUMIDITY_PERCENT,VISIBILITY_METERS,WIND_SPEED_MPH,DANGER_LEVELS
52,04-24-2022 19:37:56,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
53,04-24-2022 19:37:57,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
54,04-24-2022 19:37:58,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
55,04-24-2022 19:37:59,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
56,04-24-2022 19:38:01,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
57,04-24-2022 19:38:02,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
58,04-24-2022 19:38:03,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
59,04-24-2022 19:38:04,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
60,04-24-2022 19:38:06,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
61,04-24-2022 19:38:07,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
62,04-24-2022 19:38:08,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
63,04-24-2022 19:38:09,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
64,04-24-2022 19:38:11,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
65,04-24-2022 19:38:12,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
66,04-24-2022 19:38:13,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
67,04-24-2022 19:38:14,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
68,04-24-2022 19:38:16,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
69,04-24-2022 19:38:17,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
70,04-24-2022 19:38:18,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
71,04-24-2022 19:38:19,32.9328,-96.711,201,thunderstorm with rain,11d,66.72,86,4828,16.11,MODERATE
72,04-24-2022 19:38:21,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
73,04-24-2022 19:38:22,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
74,04-24-2022 19:38:23,32.9255,-96.729,201,thunderstorm with rain,11d,66.94,86,4828,16.11,MODERATE
75,04-24-2022 19:38:24,32.9328,-96.711,201,thunderstorm with rain,11d,66.72,86,4828,16.11,MODERATE
76,04-24-2022 19:38:26,32.9333,-96.683,201,thunderstorm with rain,11d,67.06,86,4828,16.11,MODERATE
77,04-24-2022 19:38:27,32.9333,-96.683,201,thunderstorm with rain,11d,67.06,86,4828,16.11,MODERATE
78,04-24-2022 19:38:28,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
79,04-24-2022 19:38:29,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
80,04-24-2022 19:38:31,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
81,04-24-2022 19:38:32,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
82,04-24-2022 19:38:33,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
83,04-24-2022 19:38:34,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
84,04-24-2022 19:38:35,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
85,04-24-2022 19:38:37,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
86,04-24-2022 19:38:38,32.9336,-96.7,201,thunderstorm with rain,11d,66.74,86,4828,16.11,MODERATE
87,04-24-2022 19:38:39,32.9328,-96.711,201,thunderstorm with rain,11d,66.72,86,4828,16.11,MODERATE
88,04-24-2022 19:38:41,32.9333,-96.683,201,thunderstorm with rain,11d,67.06,86,4828,16.11,MODERATE
89,04-24-2022 19:38:42,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
90,04-24-2022 19:38:43,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
91,04-24-2022 19:38:44,32.9328,-96.711,201,thunderstorm with rain,11d,66.72,86,4828,16.11,MODERATE
92,04-24-2022 19:38:45,32.9336,-96.7,201,thunderstorm with rain,11d,66.74,86,4828,16.11,MODERATE
93,04-24-2022 19:38:47,32.9276,-96.718,201,thunderstorm with rain,11d,66.88,86,4828,16.11,MODERATE
94,04-24-2022 19:38:48,32.9318,-96.687,201,thunderstorm with rain,11d,66.9,86,4828,16.11,MODERATE
