"US0075 , US , 33.0013 , -96.708"
"US0075 , US , 32.9387 , -96.747"
"US0075 , US , 32.9831 , -96.712"
"US0075 , US , 32.9787 , -96.714"
"US0075 , US , 32.9773 , -96.715"
"US0075 , US , 32.9752 , -96.716"
"US0075 , US , 32.9744 , -96.716"
"US0075 , US , 32.9710 , -96.718"
"US0075 , US , 32.9670 , -96.721"
"US0075 , US , 32.9663 , -96.721"
"US0075 , US , 32.9657 , -96.722"
"US0075 , US , 32.9628 , -96.725"
"US0075 , US , 32.9451 , -96.739"
"US0075 , US , 32.9419 , -96.743"
"US0075 , US , 32.9406 , -96.744"
"US0075 , US , 32.9747 , -96.716"
"US0075 , US , 32.9737 , -96.717"
"US0075 , US , 32.9734 , -96.717"
"US0075 , US , 32.9382 , -96.748"
"US0075 , US , 32.9890 , -96.710"
"US0075 , US , 32.9883 , -96.710"
"US0075 , US , 32.9870 , -96.710"
"US0075 , US , 32.9508 , -96.734"
"US0075 , US , 32.9505 , -96.734"
"US0075 , US , 32.9502 , -96.735"
"US0075 , US , 32.9853 , -96.711"
"US0075 , US , 32.9851 , -96.711"
"US0075 , US , 32.9848 , -96.711"
"US0075 , US , 32.9840 , -96.712"
"US0075 , US , 32.9833 , -96.712"
"US0075 , US , 32.9826 , -96.712"
"US0075 , US , 32.9815 , -96.713"
"US0075 , US , 32.9809 , -96.713"
"US0075 , US , 32.9795 , -96.714"
"US0075 , US , 32.9783 , -96.714"
"US0075 , US , 32.9770 , -96.715"
"US0075 , US , 32.9401 , -96.745"
"US0075 , US , 32.9399 , -96.746"
"US0075 , US , 33.0004 , -96.708"
"US0075 , US , 32.9714 , -96.718"
"US0075 , US , 32.9687 , -96.720"
"US0075 , US , 32.9677 , -96.721"
"US0075 , US , 32.9671 , -96.721"
"US0075 , US , 32.9668 , -96.721"
"US0075 , US , 32.9662 , -96.722"
"US0075 , US , 32.9654 , -96.722"
"US0075 , US , 32.9651 , -96.723"
"US0075 , US , 32.9650 , -96.723"
"US0075 , US , 32.9639 , -96.724"
"US0075 , US , 32.9623 , -96.726"
"US0075 , US , 32.9615 , -96.726"
"US0075 , US , 32.9610 , -96.727"
"US0075 , US , 32.9606 , -96.727"
"US0075 , US , 32.9974 , -96.709"
"US0075 , US , 32.9757 , -96.716"
"US0075 , US , 32.9753 , -96.716"
"US0075 , US , 32.9995 , -96.709"
