"US0075 , US , 32.991600281000046 , -96.70982394499998"
"US0075 , US , 32.990698931000054 , -96.70995855499996"
"US0075 , US , 32.99002271100005 , -96.71005094499998"
"US0075 , US , 32.98953277000004 , -96.710131645"
"US0075 , US , 32.950768753000034 , -96.73437304399994"
"US0075 , US , 32.95063748200005 , -96.73445476899997"
"US0075 , US , 32.95012715300004 , -96.73477699399996"
"US0075 , US , 32.94049424000008 , -96.74499193699995"
"US0075 , US , 32.940434896000056 , -96.74506760599996"
"US0075 , US , 32.94523587000003 , -96.73904383099995"
"US0075 , US , 32.94522564500005 , -96.73905610899999"
"US0075 , US , 32.999465075000046 , -96.70887057899995"
"US0075 , US , 32.99767604600004 , -96.70912574"
"US0075 , US , 32.98432059400005 , -96.71186455399999"
"US0075 , US , 32.983450179000044 , -96.71226922499994"
"US0075 , US , 32.98306576900006 , -96.71244794499995"
"US0075 , US , 32.981721969000034 , -96.71305892499998"
"US0075 , US , 32.97998505900006 , -96.713860475"
"US0075 , US , 32.97896067800008 , -96.71431655599997"
"US0075 , US , 32.97805585800006 , -96.71472124599995"
"US0075 , US , 32.97765683800003 , -96.71492943599998"
"US0075 , US , 32.97673290800003 , -96.71531598599995"
"US0075 , US , 32.97616221800007 , -96.71558731599998"
"US0075 , US , 32.97585325800003 , -96.71574093599997"
"US0075 , US , 32.97582160600007 , -96.71575817199994"
"US0075 , US , 32.960767831000055 , -96.72764696399997"
"US0075 , US , 32.960709604000044 , -96.72771197799995"
"US0075 , US , 32.959924734000026 , -96.72850305799994"
"US0075 , US , 32.959142874000065 , -96.72917854799994"
"US0075 , US , 32.958230814000046 , -96.72982954799994"
"US0075 , US , 32.95454543300008 , -96.73218497899995"
"US0075 , US , 32.95042403200006 , -96.73481233899997"
"US0075 , US , 32.949485622000054 , -96.73539314899995"
"US0075 , US , 32.94805179200006 , -96.73637901899997"
"US0075 , US , 32.94765632200006 , -96.73672430899995"
"US0075 , US , 32.94714588100004 , -96.73715823899994"
"US0075 , US , 32.94667539100004 , -96.73765184899997"
"US0075 , US , 32.94601540100007 , -96.73827711999996"
"US0075 , US , 32.94521308100008 , -96.73924572999994"
"US0075 , US , 32.94422557000007 , -96.74047974099994"
"US0075 , US , 32.99768302200005 , -96.70896041099996"
"US0075 , US , 32.99733601200006 , -96.70900363499999"
"US0075 , US , 32.99697579000008 , -96.70905907899999"
"US0075 , US , 32.93843252100004 , -96.74778826099998"
"US0075 , US , 32.938029167000025 , -96.74828464099994"
"US0075 , US , 32.99387475100008 , -96.70951252499998"
"US0075 , US , 32.993456226000035 , -96.70956982999996"
"US0075 , US , 32.99346001400005 , -96.70969876599997"
"US0075 , US , 32.993068711000035 , -96.70975176499996"
"US0075 , US , 32.99046537100003 , -96.71014010499994"
"US0075 , US , 32.989539043000036 , -96.71029072799996"
"US0075 , US , 32.96032738200006 , -96.72793381499997"
"US0075 , US , 32.95999767400008 , -96.72828753799996"
"US0075 , US , 32.95976157400003 , -96.728502328"
"US0075 , US , 32.95932563400004 , -96.72887462799997"
"US0075 , US , 32.95898852400006 , -96.72913980799996"
"US0075 , US , 32.95839280400003 , -96.72958459799997"
"US0075 , US , 32.95749123400003 , -96.73017407799995"
"US0075 , US , 32.95573806300007 , -96.73129089799994"
"US0075 , US , 32.95448610300008 , -96.73203726899999"
"US0075 , US , 32.95160271200007 , -96.73385384899996"
"US0075 , US , 32.950768753000034 , -96.73437304399994"
"US0075 , US , 32.989452604000064 , -96.71030478299997"
"US0075 , US , 32.98869627000005 , -96.71042776499996"
"US0075 , US , 32.98768945000006 , -96.71065789499994"
"US0075 , US , 32.98686962000005 , -96.71090240499996"
"US0075 , US , 32.98602102000007 , -96.71123321499994"
"US0075 , US , 32.98549505600005 , -96.711445573"
"US0075 , US , 32.960726048000026 , -96.72750610999998"
"US0075 , US , 32.96032738200006 , -96.72793381499997"
"US0075 , US , 32.94205444700003 , -96.74319281499999"
"US0075 , US , 32.94161622000007 , -96.743740431"
"US0075 , US , 32.94044476200003 , -96.74523015499994"
"US0075 , US , 33.000195415000064 , -96.70862531999995"
"US0075 , US , 33.000192533000074 , -96.70862576499997"
"US0075 , US , 33.00008173300006 , -96.708661625"
"US0075 , US , 32.99943253400005 , -96.70874248999996"
"US0075 , US , 32.98944631000006 , -96.71014588599996"
"US0075 , US , 32.98874310000008 , -96.71026171499994"
"US0075 , US , 32.98760547000006 , -96.71051466499995"
"US0075 , US , 32.986277820000055 , -96.71095865499996"
"US0075 , US , 32.98571358000004 , -96.71123486499994"
"US0075 , US , 32.98554056000006 , -96.71130459499994"
"US0075 , US , 32.940434896000056 , -96.74506760599996"
"US0075 , US , 32.940430940000056 , -96.74507265099999"
"US0075 , US , 32.94026118000005 , -96.74528367099998"
"US0075 , US , 32.94008511000004 , -96.74550250099998"
"US0075 , US , 32.93990273000003 , -96.74571880099995"
"US0075 , US , 32.93985072600003 , -96.745788743"
"US0075 , US , 32.99698318600008 , -96.70922158299999"
"US0075 , US , 32.99387875200006 , -96.70964205199994"
"US0075 , US , 32.99697579000008 , -96.70905907899999"
"US0075 , US , 32.99608676200006 , -96.70919591499995"
"US0075 , US , 32.99588100200003 , -96.70922374499997"
"US0075 , US , 32.99527746200005 , -96.70931098499995"
"US0075 , US , 32.99394691100008 , -96.70950264499999"
"US0075 , US , 32.99387475100008 , -96.70951252499998"
"US0075 , US , 33.003969770000026 , -96.70826165699998"
"US0075 , US , 33.00389956300006 , -96.70827568599998"
"US0075 , US , 33.00169703300003 , -96.70855224499996"
"US0075 , US , 33.000229741000055 , -96.70876151799996"
"US0075 , US , 32.97582160600007 , -96.71575817199994"
"US0075 , US , 32.975449698000034 , -96.71596069599997"
